date,Revenue,bing_cost,pinterest_cost,google_ads_cost,hulu_cost,facebook_cost,sunday,monday,wednesday,thursday,friday,saturday,pay_day
2021-01-01,"47,824.64",524.98,244.71,"1,964.62",0.00,688.93,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-01-02,"52,418.94",515.08,328.99,"2,069.12",0.00,619.24,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-01-03,"45,219.88",492.94,229.15,"1,964.50",0.00,622.98,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-04,"41,971.56",409.50,148.71,"1,206.36",0.00,641.78,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-01-05,"31,753.18",395.05,104.86,"1,048.84",0.00,667.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-06,"28,277.25",392.36,90.13,849.41,0.00,671.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-01-07,"32,458.68",344.23,94.25,871.58,0.00,495.56,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-01-08,"30,513.22",354.02,131.81,"1,038.77",0.00,405.17,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-01-09,"44,653.06",423.13,241.15,"1,823.89",0.00,404.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-01-10,"54,058.68",472.20,303.70,"1,873.85",0.00,404.30,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-11,"43,132.96",400.73,210.67,"1,240.10",0.00,381.06,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-01-12,"40,696.42",375.33,173.86,895.68,0.00,351.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-13,"39,083.22",317.73,151.70,790.75,0.00,349.91,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-01-14,"23,722.78",405.37,155.50,865.47,0.00,364.11,0.00,0.00,0.00,1.00,0.00,0.00,1.00
2021-01-15,"28,630.46",362.60,191.43,985.39,0.00,350.08,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-01-16,"47,779.94",524.11,265.64,"1,571.25",0.00,358.46,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-01-17,"40,206.10",460.56,310.74,"1,762.21",0.00,373.41,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-18,"27,754.16",531.49,264.56,"1,353.12",0.00,363.83,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-01-19,"37,250.92",405.06,213.60,908.63,0.00,371.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-20,"29,505.30",328.33,216.81,724.40,0.00,360.70,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-01-21,"30,165.56",340.96,177.51,743.21,0.00,368.88,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-01-22,"27,107.14",370.88,152.49,954.14,0.00,379.29,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-01-23,"47,633.52",479.41,178.44,"1,695.82",0.00,372.21,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-01-24,"53,381.78",446.65,273.64,"1,640.77",0.00,372.66,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-25,"38,754.78",390.33,183.57,969.67,0.00,363.77,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-01-26,"20,097.78",303.06,207.56,815.88,0.00,366.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-27,"24,773.00",341.67,147.59,788.91,0.00,371.97,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-01-28,"27,825.34",320.19,146.70,779.22,0.00,395.52,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-01-29,"35,670.68",307.50,131.11,837.82,0.00,408.88,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-01-30,"37,349.83",338.19,247.45,"1,220.42",0.00,406.70,0.00,0.00,0.00,0.00,0.00,1.00,1.00
2021-01-31,"35,650.35",411.30,321.60,"1,319.89",0.00,423.30,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-01,"37,165.73",304.00,274.92,830.84,0.00,422.18,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-02-02,"25,583.22",302.16,166.83,686.52,0.00,415.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-03,"24,260.04",283.32,113.80,740.64,0.00,411.71,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-02-04,"32,337.75",296.21,149.37,709.63,0.00,420.41,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-02-05,"17,312.62",287.35,134.39,769.53,0.00,420.59,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-02-06,"40,831.40",389.17,188.61,"1,157.36",0.00,425.74,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-02-07,"34,047.37",333.21,216.27,"1,113.66",0.00,424.20,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-08,"24,164.33",342.86,181.71,788.35,0.00,416.93,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-02-09,"32,383.36",281.30,228.85,720.07,0.00,420.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-10,"24,172.78",239.69,216.13,716.33,0.00,412.94,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-02-11,"15,742.50",267.20,122.82,712.41,0.00,423.52,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-02-12,"27,022.08",299.62,280.03,739.48,0.00,408.21,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-02-13,"22,800.96",296.31,24.61,"1,036.17",0.00,433.25,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-02-14,"21,083.24",326.75,25.00,"1,144.87",0.00,425.38,1.00,0.00,0.00,0.00,0.00,0.00,1.00
2021-02-15,"17,063.74",341.13,25.00,"1,870.71",0.00,415.77,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-02-16,"24,860.28","1,042.81",25.00,"4,485.45",0.00,580.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-17,"25,741.98","1,342.30",49.28,"4,652.15",0.00,"1,120.07",0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-02-18,"21,611.94","1,507.46",41.80,"4,529.64",0.00,"1,124.34",0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-02-19,"35,824.31","1,334.62",535.67,"4,752.41",0.00,"1,189.59",0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-02-20,"32,724.87","1,334.95",551.16,"7,491.38",0.00,"1,298.16",0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-02-21,"38,320.58","1,411.74",531.83,"8,299.71",0.00,"1,174.24",1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-22,"39,307.81","1,046.83",526.10,"4,550.05",0.00,"1,013.72",0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-02-23,"22,084.59",978.57,498.04,"4,271.11",0.00,"1,028.70",0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-02-24,"70,667.31","1,023.88",494.95,"5,117.12",0.00,"1,025.00",0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-02-25,"39,180.97","1,171.80",499.15,"6,569.32",0.00,"1,435.92",0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-02-26,"100,140.20","1,133.38",491.32,"7,950.78",0.00,"1,494.00",0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-02-27,"63,410.03","1,396.37",497.78,"8,636.95",0.00,"1,485.13",0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-02-28,"53,849.75","1,341.98",498.43,"7,160.09",0.00,"1,714.48",1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-03-01,"43,749.02","1,247.96",522.05,"7,445.41",0.00,"1,696.45",0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-03-02,"34,929.19","1,334.76",596.23,"6,209.62",0.00,"2,650.82",0.00,0.00,0.00,0.00,0.00,0.00,1.00
2021-03-03,"177,419.13","1,306.27",590.26,"6,450.69",0.00,"2,946.69",0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-03-04,"71,484.12","1,046.93",986.13,"3,352.05",0.00,"4,647.70",0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-03-05,"86,376.93","1,041.62","1,077.22","3,425.51",0.00,"5,733.06",0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-03-06,"95,479.58","1,189.81","1,121.94","4,256.47",0.00,"5,945.34",0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-03-07,"101,049.60","1,521.44","1,125.75","5,385.83",0.00,"5,792.66",1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-03-08,"101,533.06","1,355.82","1,120.98","3,856.28",0.00,"7,491.27",0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-03-09,"90,647.48","1,275.66","1,406.32","4,289.86",0.00,"8,243.01",0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-03-10,"82,394.65","1,178.69","1,509.37","4,663.10",0.00,"8,218.21",0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-03-11,"104,053.23","1,037.39","1,860.04","5,161.08",0.00,"9,345.68",0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-03-12,"127,868.90",935.35,"2,217.88","6,377.55",0.00,"9,437.77",0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-03-13,"125,255.40","1,119.17","2,278.60","9,568.32",0.00,"10,730.96",0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-03-14,"132,840.96","1,350.54","2,296.88","8,033.65",0.00,"9,441.20",1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-03-15,"141,356.41","1,389.06","2,290.91","5,485.06",0.00,"9,062.17",0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-03-16,"118,095.35","1,375.41","2,324.49","4,945.77",0.00,"10,064.32",0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-03-17,"85,401.42","1,165.41","2,315.41","4,568.04",0.00,"10,390.00",0.00,0.00,1.00,0.00,0.00,0.00,1.00
2021-03-18,"94,311.82","1,228.18","2,337.44","5,226.53",0.00,"10,491.66",0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-03-19,"127,975.43","1,232.38","2,333.17","5,788.53",0.00,"11,286.71",0.00,0.00,0.00,0.00,1.00,0.00,0.00
2021-03-20,"136,463.18","1,475.58","2,346.97","10,787.78",0.00,"12,424.05",0.00,0.00,0.00,0.00,0.00,1.00,0.00
2021-03-21,"129,301.82","1,713.82","2,343.99","15,358.29",0.00,"11,158.89",1.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-03-22,"213,347.70","1,612.86","2,409.00","8,519.87",0.00,"10,472.64",0.00,1.00,0.00,0.00,0.00,0.00,0.00
2021-03-23,"201,454.88","1,627.46","2,446.79","6,379.60",0.00,"10,781.59",0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-03-24,"146,789.80","2,709.80","2,194.13","6,436.15",0.00,"11,239.57",0.00,0.00,1.00,0.00,0.00,0.00,0.00
2021-03-25,"134,646.60","1,759.69","2,192.09","5,852.56",0.00,"11,031.71",0.00,0.00,0.00,1.00,0.00,0.00,0.00
2021-03-26,"379,298.50",881.79,"2,194.98","7,055.89",0.00,"11,490.14",0.00,0.00,0.00,0.00,1.00,0.00,0.00
