date,Revenue,bing_cost,pinterest_cost,google_ads_cost,hulu_cost,facebook_cost
2021-01-01,47824.64,524.98,244.71,1964.62,0.00,688.93
2021-01-02,52418.94,515.08,328.99,2069.12,0.00,619.24
2021-01-03,45219.88,492.94,229.15,1964.50,0.00,622.98
2021-01-04,41971.56,409.50,148.71,1206.36,0.00,641.78
2021-01-05,31753.18,395.05,104.86,1048.84,0.00,667.47
2021-01-06,28277.25,392.36,90.13,849.41,0.00,671.06
2021-01-07,32458.68,344.23,94.25,871.58,0.00,495.56
2021-01-08,30513.22,354.02,131.81,1038.77,0.00,405.17
2021-01-09,44653.06,423.13,241.15,1823.89,0.00,404.00
2021-01-10,54058.68,472.20,303.70,1873.85,0.00,404.30
2021-01-11,43132.96,400.73,210.67,1240.10,0.00,381.06
2021-01-12,40696.42,375.33,173.86,895.68,0.00,351.13
2021-01-13,39083.22,317.73,151.70,790.75,0.00,349.91
2021-01-14,23722.78,405.37,155.50,865.47,0.00,364.11
2021-01-15,28630.46,362.60,191.43,985.39,0.00,350.08
2021-01-16,47779.94,524.11,265.64,1571.25,0.00,358.46
2021-01-17,40206.10,460.56,310.74,1762.21,0.00,373.41
2021-01-18,27754.16,531.49,264.56,1353.12,0.00,363.83
2021-01-19,37250.92,405.06,213.60,908.63,0.00,371.32
2021-01-20,29505.30,328.33,216.81,724.40,0.00,360.70
2021-01-21,30165.56,340.96,177.51,743.21,0.00,368.88
2021-01-22,27107.14,370.88,152.49,954.14,0.00,379.29
2021-01-23,47633.52,479.41,178.44,1695.82,0.00,372.21
2021-01-24,53381.78,446.65,273.64,1640.77,0.00,372.66
2021-01-25,38754.78,390.33,183.57,969.67,0.00,363.77
2021-01-26,20097.78,303.06,207.56,815.88,0.00,366.63
2021-01-27,24773.00,341.67,147.59,788.91,0.00,371.97
2021-01-28,27825.34,320.19,146.70,779.22,0.00,395.52
2021-01-29,35670.68,307.50,131.11,837.82,0.00,408.88
2021-01-30,37349.83,338.19,247.45,1220.42,0.00,406.70
2021-01-31,35650.35,411.30,321.60,1319.89,0.00,423.30
2021-02-01,37165.73,304.00,274.92,830.84,0.00,422.18
2021-02-02,25583.22,302.16,166.83,686.52,0.00,415.69
2021-02-03,24260.04,283.32,113.80,740.64,0.00,411.71
2021-02-04,32337.75,296.21,149.37,709.63,0.00,420.41
2021-02-05,17312.62,287.35,134.39,769.53,0.00,420.59
2021-02-06,40831.40,389.17,188.61,1157.36,0.00,425.74
2021-02-07,34047.37,333.21,216.27,1113.66,0.00,424.20
2021-02-08,24164.33,342.86,181.71,788.35,0.00,416.93
2021-02-09,32383.36,281.30,228.85,720.07,0.00,420.59
2021-02-10,24172.78,239.69,216.13,716.33,0.00,412.94
2021-02-11,15742.50,267.20,122.82,712.41,0.00,423.52
2021-02-12,27022.08,299.62,280.03,739.48,0.00,408.21
2021-02-13,22800.96,296.31,24.61,1036.17,0.00,433.25
2021-02-14,21083.24,326.75,25.00,1144.87,0.00,425.38
2021-02-15,17063.74,341.13,25.00,1870.71,0.00,415.77
2021-02-16,24860.28,1042.81,25.00,4485.45,0.00,580.62
2021-02-17,25741.98,1342.30,49.28,4652.15,0.00,1120.07
2021-02-18,21611.94,1507.46,41.80,4529.64,0.00,1124.34
2021-02-19,35824.31,1334.62,535.67,4752.41,0.00,1189.59
2021-02-20,32724.87,1334.95,551.16,7491.38,0.00,1298.16
2021-02-21,38320.58,1411.74,531.83,8299.71,0.00,1174.24
2021-02-22,39307.81,1046.83,526.10,4550.05,0.00,1013.72
2021-02-23,22084.59,978.57,498.04,4271.11,0.00,1028.70
2021-02-24,70667.31,1023.88,494.95,5117.12,0.00,1025.00
2021-02-25,39180.97,1171.80,499.15,6569.32,0.00,1435.92
2021-02-26,100140.20,1133.38,491.32,7950.78,0.00,1494.00
2021-02-27,63410.03,1396.37,497.78,8636.95,0.00,1485.13
2021-02-28,53849.75,1341.98,498.43,7160.09,0.00,1714.48
2021-03-01,43749.02,1247.96,522.05,7445.41,0.00,1696.45
2021-03-02,34929.19,1334.76,596.23,6209.62,0.00,2650.82
2021-03-03,177419.13,1306.27,590.26,6450.69,0.00,2946.69
2021-03-04,71484.12,1046.93,986.13,3352.05,0.00,4647.70
