date,Revenue,bing_cost,pinterest_cost,google_ads_cost,hulu_cost,facebook_cost,total_spend,bing_percent,pinterest_percent,google_ads_percent,hulu_percent,facebook_percent,revenue_per_spend
2021-01-01,47824.64,524.98,244.71,1964.62,0,688.93,3423.24,0.15,0.07,0.57,0.00,0.20,13.97057758
2021-01-02,52418.94,515.08,328.99,2069.12,0,619.24,3532.43,0.15,0.09,0.59,0.00,0.18,14.83934289
2021-01-03,45219.88,492.94,229.15,1964.5,0,622.98,3309.57,0.15,0.07,0.59,0.00,0.19,13.66337017
2021-01-04,41971.56,409.5,148.71,1206.36,0,641.78,2406.35,0.17,0.06,0.50,0.00,0.27,17.44200137
2021-01-05,31753.18,395.05,104.86,1048.84,0,667.47,2216.22,0.18,0.05,0.47,0.00,0.30,14.32762993
2021-01-06,28277.25,392.36,90.13,849.41,0,671.06,2002.96,0.20,0.04,0.42,0.00,0.34,14.11773076
2021-01-07,32458.68,344.23,94.25,871.58,0,495.56,1805.62,0.19,0.05,0.48,0.00,0.27,17.97647346
2021-01-08,30513.22,354.02,131.81,1038.77,0,405.17,1929.77,0.18,0.07,0.54,0.00,0.21,15.81184286
2021-01-09,44653.06,423.13,241.15,1823.89,0,404,2892.17,0.15,0.08,0.63,0.00,0.14,15.43929299
2021-01-10,54058.68,472.2,303.7,1873.85,0,404.3,3054.05,0.15,0.10,0.61,0.00,0.13,17.70065323
2021-01-11,43132.96,400.73,210.67,1240.1,0,381.06,2232.56,0.18,0.09,0.56,0.00,0.17,19.31995557
2021-01-12,40696.42,375.33,173.86,895.68,0,351.13,1796,0.21,0.10,0.50,0.00,0.20,22.65947661
2021-01-13,39083.22,317.73,151.7,790.75,0,349.91,1610.09,0.20,0.09,0.49,0.00,0.22,24.273935
2021-01-14,23722.78,405.37,155.5,865.47,0,364.11,1790.45,0.23,0.09,0.48,0.00,0.20,13.24961881
2021-01-15,28630.46,362.6,191.43,985.39,0,350.08,1889.5,0.19,0.10,0.52,0.00,0.19,15.15240011
2021-01-16,47779.94,524.11,265.64,1571.25,0,358.46,2719.46,0.19,0.10,0.58,0.00,0.13,17.5696425
2021-01-17,40206.1,460.56,310.74,1762.21,0,373.41,2906.92,0.16,0.11,0.61,0.00,0.13,13.83116838
2021-01-18,27754.16,531.49,264.56,1353.12,0,363.83,2513,0.21,0.11,0.54,0.00,0.14,11.04423398
2021-01-19,37250.92,405.06,213.6,908.63,0,371.32,1898.61,0.21,0.11,0.48,0.00,0.20,19.62010102
2021-01-20,29505.3,328.33,216.81,724.4,0,360.7,1630.24,0.20,0.13,0.44,0.00,0.22,18.0987462
2021-01-21,30165.56,340.96,177.51,743.21,0,368.88,1630.56,0.21,0.11,0.46,0.00,0.23,18.50012266
2021-01-22,27107.14,370.88,152.49,954.14,0,379.29,1856.8,0.20,0.08,0.51,0.00,0.20,14.59884748
2021-01-23,47633.52,479.41,178.44,1695.82,0,372.21,2725.88,0.18,0.07,0.62,0.00,0.14,17.47454767
2021-01-24,53381.78,446.65,273.64,1640.77,0,372.66,2733.72,0.16,0.10,0.60,0.00,0.14,19.52715713
2021-01-25,38754.78,390.33,183.57,969.67,0,363.77,1907.34,0.20,0.10,0.51,0.00,0.19,20.31875806
2021-01-26,20097.78,303.06,207.56,815.88,0,366.63,1693.13,0.18,0.12,0.48,0.00,0.22,11.87019307
2021-01-27,24773,341.67,147.59,788.91,0,371.97,1650.14,0.21,0.09,0.48,0.00,0.23,15.01266559
2021-01-28,27825.34,320.19,146.7,779.22,0,395.52,1641.63,0.20,0.09,0.47,0.00,0.24,16.94982426
2021-01-29,35670.68,307.5,131.11,837.82,0,408.88,1685.31,0.18,0.08,0.50,0.00,0.24,21.16564905
2021-01-30,37349.83,338.19,247.45,1220.42,0,406.7,2212.76,0.15,0.11,0.55,0.00,0.18,16.87929554
2021-01-31,35650.35,411.3,321.6,1319.89,0,423.3,2476.09,0.17,0.13,0.53,0.00,0.17,14.39784095
2021-02-01,37165.73,304,274.92,830.84,0,422.18,1831.94,0.17,0.15,0.45,0.00,0.23,20.28763497
2021-02-02,25583.22,302.16,166.83,686.52,0,415.69,1571.2,0.19,0.11,0.44,0.00,0.26,16.28259929
2021-02-03,24260.04,283.32,113.8,740.64,0,411.71,1549.47,0.18,0.07,0.48,0.00,0.27,15.65699239
2021-02-04,32337.75,296.21,149.37,709.63,0,420.41,1575.62,0.19,0.09,0.45,0.00,0.27,20.52382554
2021-02-05,17312.62,287.35,134.39,769.53,0,420.59,1611.86,0.18,0.08,0.48,0.00,0.26,10.74077153
2021-02-06,40831.4,389.17,188.61,1157.36,0,425.74,2160.88,0.18,0.09,0.54,0.00,0.20,18.89572767
2021-02-07,34047.37,333.21,216.27,1113.66,0,424.2,2087.34,0.16,0.10,0.53,0.00,0.20,16.31136758
2021-02-08,24164.33,342.86,181.71,788.35,0,416.93,1729.85,0.20,0.11,0.46,0.00,0.24,13.969032
2021-02-09,32383.36,281.3,228.85,720.07,0,420.59,1650.81,0.17,0.14,0.44,0.00,0.25,19.6166488
2021-02-10,24172.78,239.69,216.13,716.33,0,412.94,1585.09,0.15,0.14,0.45,0.00,0.26,15.25009936
2021-02-11,15742.5,267.2,122.82,712.41,0,423.52,1525.95,0.18,0.08,0.47,0.00,0.28,10.31652413
2021-02-12,27022.08,299.62,280.03,739.48,0,408.21,1727.34,0.17,0.16,0.43,0.00,0.24,15.64375282
2021-02-13,22800.96,296.31,24.61,1036.17,0,433.25,1790.34,0.17,0.01,0.58,0.00,0.24,12.73554744
2021-02-14,21083.24,326.75,25,1144.87,0,425.38,1922,0.17,0.01,0.60,0.00,0.22,10.96942768
2021-02-15,17063.74,341.13,25,1870.71,0,415.77,2652.61,0.13,0.01,0.71,0.00,0.16,6.432811457
2021-02-16,24860.28,1042.81,25,4485.45,0,580.62,6133.88,0.17,0.00,0.73,0.00,0.09,4.052945281
2021-02-17,25741.98,1342.3,49.28,4652.15,0,1120.07,7163.8,0.19,0.01,0.65,0.00,0.16,3.593341523
2021-02-18,21611.94,1507.46,41.8,4529.64,0,1124.34,7203.24,0.21,0.01,0.63,0.00,0.16,3.000308195
2021-02-19,35824.31,1334.62,535.67,4752.41,0,1189.59,7812.29,0.17,0.07,0.61,0.00,0.15,4.585634942
2021-02-20,32724.87,1334.95,551.16,7491.38,0,1298.16,10675.65,0.13,0.05,0.70,0.00,0.12,3.065374942
2021-02-21,38320.58,1411.74,531.83,8299.71,0,1174.24,11417.52,0.12,0.05,0.73,0.00,0.10,3.356296289
2021-02-22,39307.81,1046.83,526.1,4550.05,0,1013.72,7136.7,0.15,0.07,0.64,0.00,0.14,5.507841159
2021-02-23,22084.59,978.57,498.04,4271.11,0,1028.7,6776.42,0.14,0.07,0.63,0.00,0.15,3.259035007
2021-02-24,70667.31,1023.88,494.95,5117.12,0,1025,7660.95,0.13,0.06,0.67,0.00,0.13,9.224353377
2021-02-25,39180.97,1171.8,499.15,6569.32,0,1435.92,9676.19,0.12,0.05,0.68,0.00,0.15,4.049214619
2021-02-26,100140.2,1133.38,491.32,7950.78,0,1494,11069.48,0.10,0.04,0.72,0.00,0.13,9.046513477
2021-02-27,63410.03,1396.37,497.78,8636.95,0,1485.13,12016.23,0.12,0.04,0.72,0.00,0.12,5.277031981
2021-02-28,53849.75,1341.98,498.43,7160.09,0,1714.48,10714.98,0.13,0.05,0.67,0.00,0.16,5.025651004
2021-03-01,43749.02,1247.96,522.05,7445.41,0,1696.45,10911.87,0.11,0.05,0.68,0.00,0.16,4.009305463
2021-03-02,34929.19,1334.76,596.23,6209.62,0,2650.82,10791.43,0.12,0.06,0.58,0.00,0.25,3.236752682
2021-03-03,177419.13,1306.27,590.26,6450.69,0,2946.69,11293.91,0.12,0.05,0.57,0.00,0.26,15.70927429
2021-03-04,71484.12,1046.93,986.13,3352.05,0,4647.7,10032.81,0.10,0.10,0.33,0.00,0.46,7.125034761
2021-03-05,86376.93,1041.62,1077.22,3425.51,0,5733.06,11277.41,0.09,0.10,0.30,0.00,0.51,7.659287904
2021-03-06,95479.58,1189.81,1121.94,4256.47,0,5945.34,12513.56,0.10,0.09,0.34,0.00,0.48,7.630089279
2021-03-07,101049.6,1521.44,1125.75,5385.83,0,5792.66,13825.68,0.11,0.08,0.39,0.00,0.42,7.308833996
